idHerba;nom_comu;noms_comuns_coneguts;nom_cientific;familia;descripcio_fulla;descripcio_tija;descripcio_flor;inflorescencia;arrels;rebrots;fruits;llavors;habitat;epoca_recollida;remeis;receptes;toxicitat;parts_utilitzades
1;Orenga;Herba de la felicitat, herba de la tos, Oregany, Majorana silvestre;Origanum vulgare;Lamiàcies;Petites, oposades, ovades i peciolades. Presenten marges sencers o lleugerament dentats i glàndules d'essència (punts translúcids).;Erecta, de secció quadrangular, sovint de color vermellós i coberta de pèls (pubescent).;Labiada (zigomorfa) petita, de color rosa, purpuri o blanc. Calze amb 5 dents i corol·la bilabiada.;Agrupada en corimbes terminals densos, protegits per bràctees ovals de color purpuri.;Rizoma llenyós, horitzontal i reptant, del qual neixen arrels fibroses fines.;Alta capacitat de rebrotar des del rizoma, formant colònies denses o catifes herbàcies.;Tetranúcula: format per quatre núcules (petites nous) seques, ovoides i llises.;Molt menudes, rodones i de color marró fosc.;Marges de boscos, llocs assolellats, matollars i prats secs. Prefereix sòls calcaris.;Durant la floració (estiu), de juny a setembre.;Digestiva: Infusió per a espasmes intestinals i digestions pesades. Expectorant: Per a la tos i bronquitis. Antisèptica: L'oli essencial és potent contra fongs i bacteris.;Cuina Mediterrània: Condiment per a salses de tomàquet, pizzes i pastes. Adobs: Molt usada per adobar olives i carns a la brasa. Oli aromàtic: Macerada en oli d'oliva.;Segura en ús culinari. L'oli essencial pur no s'ha d'ingerir sense control (pot ser neurotòxic i abortiu en dosis altes).;summitat florida
2;Apalagosa;Apegalosa, repalassa, espurnigola, herba de gallina, amor d hortolà.;Galium aparine;Rubiàcies;Fulles estretes i lanceolades en verticils de 6 a 8. Tenen petits pèls ganxuts que les fan apegaloses.;Quadrangular, feble i enfiladissa, coberta de pèls ganxuts que miren cap avall per fixar-se.;Molt petita, de color blanc o verdós, amb 4 pètals en creu.;Cimes axil·lars amb poques flors que surten de la unió de les fulles amb la tija.;Sistema radicular prim, amb una arrel principal poc profunda i fibres fines.;Planta anual que neix de llavor i es ramifica ràpidament des de la base.;Boles petites (2-4 mm) cobertes de ganxos que s enganxen al pèl dels animals.;Dues llavors globoses per fruit, de color marró quan són madures.;Horts, marges de camins i zones amb molts nutrients (nitrogen).;Primavera, abans que s assequi pel sol de l estiu.;Molt bona per netejar el sistema limfàtic, diürètica i tòpica per a inflamacions de la pell.;Infusió depurativa de la planta fresca. Antigament les llavors torrades s usaven com a cafè.;Segura, però pot causar molèsties estomacals si es pren en excés pels seus tanins.;parts aèries
3;Artemisa;Donzell salvatge, herba de Sant Joan, herba de la mare, altimira.;Artemisia vulgaris;Asteràcies;Fulles profundament dividides, de color verd fosc a l anvers i de color blanc platejat i peludes al revers.;Erecta, angulosa i sovint de color vermellós o purpuri, pot arribar a fer més d un metre d alçada.;Flors molt petites de color groguenc o vermellós, poc vistoses.;Grans panícules ramificades a la part superior de la planta.;Rizoma llenyós i ramificat que li permet ser una planta perenne.;Rebrota cada any amb força des de la base llenyosa.;Aqueni molt petit i sense vil·là (pèls per volar).;Llavors minúscules i nombroses.;Marges de camins, descampats i zones humides prop de rius.;Abans o durant la floració (juliol-agost).;Tònica digestiva i sobretot emenagoga (ajuda a regular la menstruació i calmar els dolors).;S usa poc en cuina a casa nostra, però a l Àsia s usa per aromatitzar pans i mochis.;No usar mai durant l embaràs (pot ser abortiva). L oli essencial és tòxic en dosis altes.;Flors, fruits madurs, fulles i escorça segona.
4;Bossa de pastor;Bossa de capellà, brossa de pastor, formatgets, herba de la sang.;Capsella bursa-pastoris;Brassicàcies;"Les de la base formen una roseta i són dentades; les de la tija són petites i l abraçen.";Erecta, simple o poc ramificada, fina però resistent.;Molt petites, de color blanc, amb quatre pètals en forma de creu.;Raïm terminal que es va allargant a mesura que maduren els fruits.;Arrel pivotant (una sola arrel principal que va cap avall).;Planta anual que neix ràpidament de les llavors caigudes.;Molts característics: càpsules aplanades en forma de cor o de bossa de pastor antiga.;Llavors molt petites i de color taronja-marró dins de cada compartiment del fruit.;Horts, jardins i qualsevol terra remoguda. És una planta molt cosmopolita.;Es pot trobar gairebé tot l any si no fa gaire fred.;És un dels millors vasoconstrictors i hemostàtics (atura hemorràgies nasals o menstruals denses).;Les fulles joves de la roseta basal es poden menjar en amanida (tenen un gust una mica picant).;Evitar durant l embaràs i si es tenen pedres al ronyó pel seu contingut en oxalats.;Tota la planta (sumitats aèries), especialment quan té fruits.
5;Celidònia;Herba de les berrugues, herba celiandri, herba de l oreneta.;Chelidonium majus;Papaveràcies;Fulles dividides en lòbuls arrodonits, de color verd clar a l anvers i més glauc (grisenc) al revers. Molt tendres al tacte.;Erecta i trencadissa, plena d un suc o làtex de color taronja viu molt característic que surt de seguida que es talla.;Flors de quatre pètals grocs en forma de creu amb molts estams al centre.;Petites umbel·les simples de 3 a 8 flors que neixen a l axil·la de les fulles superiors.;Arrel pivotant, gruixuda i de color vermellós-ataronjat per dins.;Planta perenne que rebrota de la mateixa arrel cada primavera.;Càpsula llarga i estreta (siliciforme) que s assembla a una petita mongetera verda de 3-4 cm.;Petites, negres i brillants, amb una protuberància blanca que agrada a les formigues.;Murs vells, llocs ombrívols, pedregosos i prop de cases o horts.;Primavera i estiu, preferiblement durant la floració.;Tòpicament, el làtex fresc és el millor remei natural contra les berrugues. En infusió (dosi molt baixa) s ha usat per a problemes de vesícula.;No s usa en cuina. És una planta d ús estrictament medicinal extern o sota control expert.;Tòxica si s ingereix en grans quantitats. El làtex pot ser irritant per als ulls i mucoses.;planta sencera, làtex
6;Collejas;Colitxos, colissos, herba colera, conillet de bosc.;Silene vulgaris;Cariofil·làcies;Fulles lanceolades, de color verd blavós, llises i sense pèls. Són oposades i surten de nusos marcats a la tija.;Erecta, de color glauc, amb nusos inflats on s uneixen les fulles.;Flors blanques amb un calze inflat com un globus ple de nervis, que els nens sovint fan petar contra el front.;Cimes laxes i ramificades a la part superior.;Arrel profunda i persistent que li permet viure diversos anys.;Rebrota amb força des de la base després de les primeres pluges de primavera.;Càpsula seca que s obre per la part superior en 6 dents.;Petites llavors en forma de ronyó.;Camps de cultiu, marges de camins i prats secs.;Febrer, març i abril, abans que la planta floreixi (quan les fulles són tendres).;No destaca especialment com a medicinal, tot i que s ha usat com a emoliant.;Excel·lent en truites, remenats, o simplement saltades amb all i julivert. Té un gust que recorda als espàrrecs o espinacs suaus.;Totalment segura. És una planta comestible excel·lent.;Fulles joves i brots tendres (abans de la floració).
7;Consolda;Consolda major, herba de les traus, orella d ase.;Symphytum officinale;Boraginàcies;Fulles grans, rugoses i molt peludes. Les inferiors tenen forma d orella d ase i les superiors s estenen cap avall per la tija.;Erecta, robusta i coberta de pèls aspres que punxen una mica.;Flors en forma de campana penjant, de color blanc, crema, rosat o violaci.;Cimes escorpioides (com una cua d escorpí) que es van desenrotllant a mesura que les flors s obren.;Arrel molt gruixuda, negra per fora i blanca i mucilaginosa (llefiscosa) per dins.;"Planta molt vivaç; qualsevol trosset d arrel a terra pot generar una planta nova.";Quatre petites nous seques i brillants.;Llavors negres de 3-4 mm.;Llocs molt humits, riberes de rius i prats de muntanya.;L arrel es recull a la tardor o a finals d hivern, quan té més concentració d al·lantoïna.;Cicatritzant potentíssima. L al·lantoïna regenera teixits, cura ferides, llagues i s usava antigament per ajudar a soldar ossos trencats (en cataplasma).;No es recomana l ús culinari per la presència d alcaloides pirrolizidínics.;No s ha d ingerir mai durant l embaràs ni per períodes llargs. Ús tòpic preferent.;Sumitats florides (flors).
8;Cua de cavall;Asperella, cua de ruc, herba estanyera.;Equisetum arvense;Equisetàcies;"No té fulles veritables; el que veiem són ramificacions fines i verdes que surten dels nusos de la tija.";Dues tiges: una fèrtil (primavera, marró, amb un bolet al cap) i una estèril (estiu, verda, la que s usa com a remei). Secció amb molts nervis i tacte aspre.;No té flors. Es reprodueix per espores.;Estròbil (una mena de pinya petita) al capdamunt de la tija fèrtil on es produeixen les espores.;Rizomes negres subterranis molt profunds i extensos.;Molt difícil d eliminar d un hort perquè rebrota de qualsevol segment del rizoma.;No té fruits.;No té llavors, usa espores.;Marges de rius, horts amb molta humitat i zones pantanoses.;L estiu, recollint les tiges verdes (estèrils) i deixant-les assecar.;Remineralitzant (per a ossos i ungles) i un dels millors diürètics naturals. Molt usada en cosmètica per a la pell.;S usa en agricultura ecològica com a fungicida natural (en decocció) per protegir les plantes dels fongs.;Cal estar segur de l espècie (evitar Equisetum palustre que és tòxic). No usar en persones amb insuficiència renal o cardíaca greu.;Tiges estèrils dures (riques en sílice).
9;Dent de lleó;Xicoira de burro, lletsó, pixallits, mofellons.;Taraxacum officinale;Asteràcies;Fulles en roseta basal, molt dividides en segments triangulars que recorden les dents d un lleó.;"No té tija pròpiament dita; les flors surten d un escap (tub buit) que conté làtex blanc.";Capítol floral de color groc intens format per moltes flors petites.;Un sol capítol gran al final de cada escap.;Arrel pivotant llarga, gruixuda i molt difícil d extreure de terra.;Si l arrel no es treu sencera, la planta torna a sortir amb molta facilitat.;"Cipsela amb un vil·là blanc de pèls fins que forma la famosa bola de ""bufar"" (el ""volant"").";Petites llavors unides a cada pèl del vil·là per volar amb el vent.;Prats, jardins, marges de camins i horts de tot el món.;Primavera per a les fulles i tardor per a l arrel.;"Depuratiu hepàtic i renal excel·lent. Ajuda a digerir greixos i és un diürètic tan potent que li diuen ""pixallits"".";Les fulles joves són boníssimes en amanida (gust amargant). Els pètals grocs decoren plats i es pot fer mel de dent de lleó.;Totalment segura, però persones amb pedres a la vesícula han de consultar un metge abans de prendre la infusió d arrel.;arrel, fulla
10;Estepa negra;Estepa llimonenca, estepa de Montpeller, bordiol.;Cistus monspeliensis;Cistàcies;Fulles lineals-lanceolades, estretes, de color verd fosc, amb tres nervis marcats i cobertes d una resina enganxosa (làdan) molt aromàtica.;Arbust llenyós, molt ramificat, amb escorça que s esquitlla i tiges joves enganxoses.;Flors de 2-3 cm de diàmetre amb 5 pètals blancs i un centre de molts estams grocs.;Cimes terminals de 2 a 8 flors.;Sistema radicular potent i ramificat, adaptat a sòls pobres.;Planta piròfita: les seves llavors germinen amb força després d un incendi.;Càpsula ovalada que s obre en 5 valves.;Llavors molt petites i nombroses de color marró.;Garrigues, matollars i llocs assolellats, especialment en sòls silicis o descalcificats.;Primavera (floració).;Antisèptica i cicatritzant en ús extern. Antigament s usava el làdan com a fixador de perfums.;No s usa en cuina, però s ha fet servir per aromatitzar certs licors herbaris.;"Segura en ús extern; l ús intern ha de ser moderat per la seva potència resinosa.";Sumitats florides i fulles.
